id,message,heuristic_intent,human_intent,heuristic_action,human_action,annotation_notes,source_conversation
114,"I just want to return this, pls raise my concern. Not able to do this from my end. Dont expect anything from my end. If this not done then i will make sure will not buy anymore from",refund_request,,ESCALATE,,"Heuristically labeled - please verify",conv_58373
115,"Yaa sir, i responded your letest concern at 3:24pm as i got the mail at 3:19pm today. Please check ur detail and correspondence. Sir, u cant understand my problem as i paid for nothing, and now also having too much headach u guys and ur team. Plz check ur mail and make my refund.",refund_request,,ESCALATE,,"Heuristically labeled - please verify",conv_57362
116,"I have sent you the details. There is no question of refund now, I want my order completed. Get it?",refund_request,,ESCALATE,,"Heuristically labeled - please verify",conv_63992
117,I finally was able to get a number for a corporate employee In Washington state whom provided me a refund after days of empty promises and unfulfilled guarantees. I am still not happy with the several wasted days and plan to finish my holiday shopping with other vendors,refund_request,,ESCALATE,,"Heuristically labeled - please verify",conv_84129
118,What support team are you talking about ? I called twice n they make it sound like they will graciously refund my money. But then nothing,refund_request,,ESCALATE,,"Heuristically labeled - please verify",conv_6640
119,Kindly see this picture.. what kind of crap is this . I haven't received refund for this product.its been two months .,refund_request,,ESCALATE,,"Heuristically labeled - please verify",conv_16598
120,"I gave the e-mail address linked to the account, but it seems that only a specialist could take care my refund &amp; closing the account!",refund_request,,ESCALATE,,"Heuristically labeled - please verify",conv_98023
121,"we know that a lot off issues in this building has happened with deliveries and wrong address, even the drivers have said it b4",escalation_required,,ESCALATE,,"Heuristically labeled - please verify",conv_86188
122,My issue is Vendor Central related and I'll be dealing with it there unless you have higher authority than the regular desk?,escalation_required,,ESCALATE,,"Heuristically labeled - please verify",conv_23528
123,I literally can't order anything further because I was informed that the logistics team is having issues problems &amp; can't deliver to me. I don't live in a rural town or in an apartment building. Just a regular house on a regular street in Toronto.,escalation_required,,ESCALATE,,"Heuristically labeled - please verify",conv_76711
124,Is there any action taken on my issue. Now it's 3rd month and still struggling with amazon ! 🙄🙄🙄,escalation_required,,ESCALATE,,"Heuristically labeled - please verify",conv_22511
125,"It was impossible for it to have arrived on time when it left 23 minutes before the deadline. Am I blacklisted or something? My recent experiences have been terrible, this is the 9th time I've had to engage support due to delivery issues, either late or lost outright in 3 orders.",escalation_required,,ESCALATE,,"Heuristically labeled - please verify",conv_97436
126,Please solve the issue. I need earphones asap. As the earphones you provideed are not working,escalation_required,,ESCALATE,,"Heuristically labeled - please verify",conv_70669
127,I have already contacted them since two days but issue not yet solved.,escalation_required,,ESCALATE,,"Heuristically labeled - please verify",conv_26348
128,I've sent an email. Briefly my issue is that there's no provision on the ID check email to alert you that it wasn't requested.,escalation_required,,ESCALATE,,"Heuristically labeled - please verify",conv_51885
129,I have reported the issue to u now it shuld be ur responsibility to take it further not making ur customer to go here n there to report ur mistakes and pathetic support.,escalation_required,,ESCALATE,,"Heuristically labeled - please verify",conv_61476
130,Ive never had any issues.,escalation_required,,ESCALATE,,"Heuristically labeled - please verify",conv_97473
131,So what have you decided my dear ?? By this time you should've known the entire issue.I'm expecting a response from you,escalation_required,,ESCALATE,,"Heuristically labeled - please verify",conv_10116
132,I've tried that 'request a call' twice previously and simply been passed on to another dept who weren't able to resolve. It's down to to sort out &amp; they won't. have resolved similar UK issue tho. Wd be simple for to sort,escalation_required,,ESCALATE,,"Heuristically labeled - please verify",conv_56216
133,"Yes but the issue is that the ""attempt"" today. Would there be no way for them to try again today. i can't pick up a package if they don't ring the bell to let me know they are here to deliver it.",escalation_required,,ESCALATE,,"Heuristically labeled - please verify",conv_67204
134,"More like the description of what was in the box and what arrived is the issue, like expensive items vanished",escalation_required,,ESCALATE,,"Heuristically labeled - please verify",conv_67179
135,I want a call from higher your authorities on same. Or I'm going to raise my complain again publicly,escalation_required,,ESCALATE,,"Heuristically labeled - please verify",conv_16600
136,Amazon is clearly indulge in fraudulent activities.Thank for ur service so far.,escalation_required,,ESCALATE,,"Heuristically labeled - please verify",conv_14614
137,i am still waiting for the call on this issue team,escalation_required,,ESCALATE,,"Heuristically labeled - please verify",conv_52111
138,Still the issue is open....how come its taking so long?,escalation_required,,ESCALATE,,"Heuristically labeled - please verify",conv_20046
139,"""Dream"" or nightmare? goes on: Got told to re-order for the delivery which is stated as delivered &amp; never did &amp; that I will be refunded. Then talks with Jamaika &amp; Cape Town with info to wait for 72hours now &amp; they cannot refund + police report needed #CustomerExperience",escalation_required,,ESCALATE,,"Heuristically labeled - please verify",conv_98813
140,I have now had an email that has resolved the issue. I appreciate your quick response and the resolution. Thank you.,escalation_required,,ESCALATE,,"Heuristically labeled - please verify",conv_57415
141,waited for your call back. Just got it. Now told wait is 10-20 minutes. Why call me back now? Muppets. Call back when someone available.,product_info,,AUTO_HANDLE,,"Heuristically labeled - please verify",conv_45660
142,"Thanks, do you know if there are any coming back in stock? I really wanted the exclusive one, but stupidly kept putting it off.",product_info,,AUTO_HANDLE,,"Heuristically labeled - please verify",conv_67171
143,are you going to keep the availability to limited pincodes like flipkart? They have the device available to buy.,product_info,,AUTO_HANDLE,,"Heuristically labeled - please verify",conv_48003
144,"Yes, letting me ""it's delayed"", well duh! How the he'll does it go from pre-order to out of stock?",product_info,,AUTO_HANDLE,,"Heuristically labeled - please verify",conv_29270
145,I was provided with none !!!! 😡 but imagine waking up to another message saying we've attempted to deliver today and you weren't available .. I'm still in my pjs .. 😩😩😩 dies someone want to explain to me what I'm paying for with this prime thingy ??? Furious,product_info,,AUTO_HANDLE,,"Heuristically labeled - please verify",conv_53338
146,"I just saw an ad for it being on Amazon Prime, looked like a Prime Origional. Was it on Prime in Canada before? Will it be available in Canada soon?",product_info,,AUTO_HANDLE,,"Heuristically labeled - please verify",conv_98749
147,Yes they are in stock when I purchased them an still are now,product_info,,AUTO_HANDLE,,"Heuristically labeled - please verify",conv_61400
148,the item is in stock and also i spoke with someone with live chat and assured me that my order was going to ship last night. Not,product_info,,AUTO_HANDLE,,"Heuristically labeled - please verify",conv_84833
149,I'm in UK - is call available?,product_info,,AUTO_HANDLE,,"Heuristically labeled - please verify",conv_33439
150,It was a gift I received. I am waiting to reorder the correct size.,product_info,,AUTO_HANDLE,,"Heuristically labeled - please verify",conv_64008
151,No not yet it's just usually dispatched very quickly and I'm hoping you haven't run out of stock as I need them by Saturday 🤞🏽,product_info,,AUTO_HANDLE,,"Heuristically labeled - please verify",conv_40367
152,"No me envías un producto que tienen en stock,y la solución es que lo vuelva a comprar y obviamente más caro...para q funciona entonces la preventa de Amazon #amazon #preventa",product_info,,AUTO_HANDLE,,"Heuristically labeled - please verify",conv_94443
153,Why are you still showing it as available next day?,product_info,,AUTO_HANDLE,,"Heuristically labeled - please verify",conv_55920
154,"Our building is available for LEASE /RENT for back office or godown or ware house, kindly forward the message to the concerned thank u kiran",product_info,,AUTO_HANDLE,,"Heuristically labeled - please verify",conv_32504
155,Now even doremon first season not available ..... First Darker then black now this. So what are you having CID and Tarak Mehta?,product_info,,AUTO_HANDLE,,"Heuristically labeled - please verify",conv_69056
156,"All of the items were in stock. If they aren't available to ship immediately, then maybe they shouldn't be offered on Prime.",product_info,,AUTO_HANDLE,,"Heuristically labeled - please verify",conv_67125
157,That just takes me to my amazon account. Not helpful. Are the Brighton tickets actually available?,product_info,,AUTO_HANDLE,,"Heuristically labeled - please verify",conv_17170
158,"so after wasting more than 1.5 month, now you are telling me the product is out of warranty. i had gone to iball 1.5 months back .",product_info,,AUTO_HANDLE,,"Heuristically labeled - please verify",conv_10089
159,"same reply again and again. if the complaint is raised under warranty period and if wont solve it, how is it out of warranty?",product_info,,AUTO_HANDLE,,"Heuristically labeled - please verify",conv_10085
160,"I used to be able to watch my twitch streams with chromecast and now it says ""sorry"" this stream not available w chromecast buy me your stupid stick",product_info,,AUTO_HANDLE,,"Heuristically labeled - please verify",conv_84825
161,That transaction must have reversed.. to them only,billing_issue,,ESCALATE,,"Heuristically labeled - please verify",conv_16589
162,Yes I've already contacted my bank and they are saying.. no such transaction we can see from Amazon,billing_issue,,ESCALATE,,"Heuristically labeled - please verify",conv_16591
163,It can't be more than the total billing amt which has been finalised while placing the order right?,billing_issue,,ESCALATE,,"Heuristically labeled - please verify",conv_51819
164,"Yes, I received a message saying my payment was declined, which I immediately went on to my account to fix, as soon as I got the email.",billing_issue,,ESCALATE,,"Heuristically labeled - please verify",conv_29672
165,"I had already called and talked. The guy said it is only available for HDFC bank, however you have mentioned that others banks are available too for the instant cashback in lieu of the interest charged for the EMI. I want to know how much instant discount will be offered?",billing_issue,,ESCALATE,,"Heuristically labeled - please verify",conv_65594
166,"Amazon have not up a faulty order and now I'm being charged for something I never ordered.....,",billing_issue,,ESCALATE,,"Heuristically labeled - please verify",conv_70722
167,I am contacting you as I ordered from your site and you charged my credit card Amazon not a carrier,billing_issue,,ESCALATE,,"Heuristically labeled - please verify",conv_62738
168,"Already replied. Ur representative had replied totally out of context. I want to ask when you are giving instant discount in lieu of the interest charged on EMIs for partner banks one of which is ICICI, why am I not getting the discount?",billing_issue,,ESCALATE,,"Heuristically labeled - please verify",conv_65586
169,It states I'm not a member but my bank is showing a pending payment to you dated from the 20th. Stating Amazon prime membership fee ....,billing_issue,,ESCALATE,,"Heuristically labeled - please verify",conv_89938
170,No nothing except confirmation that an investigation is going on... it's month end.. all bill payments/payments for school trips/reminders were set up on phone etc... this has created so much extra work for me... that I don't have the time for,billing_issue,,ESCALATE,,"Heuristically labeled - please verify",conv_82081
171,Can you provide me the name or link of seller who is offering no emi cost on PS4,billing_issue,,ESCALATE,,"Heuristically labeled - please verify",conv_18421
172,Oui envoyé et un mail de retour confirme la première bonne réception en m'annonçant la rupture de stock du produit 😱,billing_issue,,ESCALATE,,"Heuristically labeled - please verify",conv_72224
